poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-10-kunming-return-20260515-001,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站,交通枢纽,交通设施服务;火车站;火车站,北京路1号,"102.722277,25.015257",0,按铁路运营时间开放,进站乘车需有效车票和身份证件,候选,返程交通和住宿定位
poi-10-kunming-return-20260515-002,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明南站,交通枢纽,交通设施服务;火车站;火车站,联大街328号,"102.860870,24.869978",0,按铁路运营时间开放,进站乘车需有效车票和身份证件,候选,返程交通和住宿定位
poi-10-kunming-return-20260515-003,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明东站,交通枢纽,交通设施服务;火车站;货运火车站,贵昆公路,"102.760912,25.019313",0,按铁路运营时间开放,进站乘车需有效车票和身份证件,候选,返程交通和住宿定位
poi-10-kunming-return-20260515-004,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站(检票口4A),交通枢纽,交通设施服务;火车站;进站口/检票口,北京路与站前路交汇处昆明站F2层,"102.722181,25.015327",0,按铁路运营时间开放,进站乘车需有效车票和身份证件,候选,返程交通和住宿定位
poi-10-kunming-return-20260515-005,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站(检票口6B),交通枢纽,交通设施服务;火车站;进站口/检票口,北京路与站前路交汇处昆明站F2层,"102.721326,25.014818",0,按铁路运营时间开放,进站乘车需有效车票和身份证件,候选,返程交通和住宿定位
poi-10-kunming-return-20260515-006,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明老街记忆,古城/街区,风景名胜;风景名胜;风景名胜,景星街102号,"102.707202,25.038029",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,返程缓冲慢逛
poi-10-kunming-return-20260515-007,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖公园,湖边/公园,风景名胜;公园广场;公园,翠湖南路67号,"102.703621,25.048416",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-008,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖·阮堤,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园,"102.703553,25.047468",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-009,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-唐堤,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园内(东侧),"102.705351,25.048848",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-010,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-说园,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(东北角),"102.705289,25.049583",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-011,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-竹林岛,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(东北角),"102.705505,25.049757",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-012,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-滇花苑,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(西北角),"102.702315,25.049411",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
poi-10-kunming-return-20260515-013,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖·定西桥,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园内(西侧),"102.701897,25.048930",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,低强度返程缓冲
